patent_id,keyword
IN379761944,language instructions virtual
IN379761944,instructions virtual reality
IN379761944,integrated english language
IN379761944,instructions virtual
IN379761944,virtual reality technology
IN346043401,students education monitoring
IN346043401,education monitoring using
IN346043401,education monitoring
IN346043401,learning iot based
IN346043401,machine learning iot
CN446862627,一种海洋水体污染物检测装置
IN355932058,mpc academy development
IN355932058,mpc academy
IN355932058,academy development method
IN355932058,process teaching learning
IN355932058,academy development
CN446858452,便于调节安装的双相流体装卸臂归位装置
CN446863566,一种通过土壤深层注气增氧促进稻田固碳减排 提高水稻产量的方法
CN446863566,提高水稻产量的方法
CN446863566,一种通过土壤深层注气增氧促进稻田固碳减排
CN346919706,training platform abs
CN346919706,platform abs
CN346919706,abs anti lock
CN346919706,platform abs anti
CN346919706,anti lock brake
IN366091682,time cloud data
IN366091682,engine time cloud
IN366091682,time cloud
IN366091682,decresed search engine
IN366091682,search engine time
WO2016035034,education platform translation
WO2016035034,international digital education
WO2016035034,digital education platform
WO2016035034,education platform
WO2016035034,connecting world education
KR446842906,고리 유도체 제조방법
KR446842906,벤젠 고리 유도체
KR446842906,제조방법 약학 조성물
KR446842906,이미다조피리다진 치환 벤젠
KR446842906,유도체 제조방법
CN383871510,education resource sharing
CN383871510,college education resource
CN383871510,based big data
CN383871510,education resource
CN383871510,sharing based big
CN437813554,一种模拟培训考试装置
IN398104791,digital ecosystem modifying
IN398104791,digital ecosystem
IN398104791,role digital ecosystem
IN398104791,modifying higher education
IN398104791,higher education
DE437787989,mehrband schleifen antenne
DE437787989,mit erweiterter bandbreite
DE437787989,mehrband schleifen
DE437787989,erweiterter bandbreite
DE437787989,mehrband
IN346042388,energy levels laser
IN346042388,kinaesthetic game based
IN346042388,use kinaesthetic game
IN346042388,kinaesthetic game
IN346042388,levels laser
CN235498297,display device college
CN235498297,display device
CN235498297,device college education
CN235498297,device college
CN235498297,display
US343549466,telecommunications broadband access
US343549466,broadband access unserved
US343549466,broadband access
US343549466,analysis telecommunications broadband
US343549466,telecommunications broadband
CN234320403,english listening comprehension
CN234320403,listening comprehension training
CN234320403,listening comprehension
CN234320403,comprehension training device
CN234320403,english listening
IN371142487,enabling online edtech
IN371142487,online edtech
IN371142487,edtech
IN371142487,enabling online
IN371142487,method enabling online
IN211665421,treatment allergic asthma
IN211665421,delivery treatment allergic
IN211665421,allergic asthma
IN211665421,oral drug delivery
IN211665421,asthma
US41410060,college employment integration
US41410060,employment integration
US41410060,college employment
US41410060,college
US41410060,employment
IN236856677,coconut partial dehusker
IN236856677,coconut partial
IN236856677,partial dehusker
IN236856677,coconut
IN236856677,dehusker
GB135614776,apparatus demonstrating wave
GB135614776,demonstrating wave motion
GB135614776,demonstrating wave
GB135614776,wave motion
GB135614776,wave
US437764624,additive manufacturing component
US437764624,device additive manufacturing
US437764624,method additive manufacturing
US437764624,additive manufacturing
US437764624,manufacturing component method
WO2006059964,expert driven assessments
WO2006059964,standardizing expert driven
WO2006059964,standardizing expert
WO2006059964,products standardizing expert
WO2006059964,driven assessments
CN446858429,一种基于bim的压储电站地下硐室施工监测方法及系统
PH203085223,workplace core competency
PH203085223,core competency focused
PH203085223,core competency
PH203085223,competency focused education
PH203085223,competency focused
IN318015284,monitoring coma patient
IN318015284,monitoring coma
IN318015284,coma patient health
IN318015284,coma patient
IN318015284,coma
CN437815368,一种可竖向平衡调整的船岸通讯装置
CN312357860,electric vehicle teaching
CN312357860,training device electric
CN312357860,vehicle teaching
CN312357860,practical training device
CN312357860,device electric vehicle
CN235498335,music education studying
CN235498335,college music education
CN235498335,music education
CN235498335,college music
CN235498335,education studying device
TN421431410,device measuring circumference
TN421431410,measuring circumference object
TN421431410,measuring circumference
TN421431410,device measuring
TN421431410,circumference object
IN367110747,resource sharing drone
IN367110747,sharing drone
IN367110747,sharing drone assisted
IN367110747,drone assisted flying
IN367110747,drone
US76829382,social geo promo
US76829382,link promotional data
US76829382,geo promo link
US76829382,promotional data sets
US76829382,social geo
IN346042386,black box wheelers
IN346042386,box wheelers
IN346042386,black box
IN346042386,wheelers
IN346042386,box
CN306883999,administration curriculum schedule
CN306883999,curriculum schedule data
CN306883999,curriculum schedule
CN306883999,educational administration curriculum
CN306883999,analyzing college educational
CN446858453,自动贴合设备及方法
IN348042551,bamboo tremix concrete
IN348042551,tremix concrete flooring
IN348042551,tyre crumb bamboo
IN348042551,rubber tyre crumb
IN348042551,crumb bamboo tremix
DE437787926,rotor mit magnetischem
DE437787926,herstellung eines rotors
DE437787926,eines rotors
DE437787926,mit magnetischem material
DE437787926,magnetischem material
CN446870098,一种双合金机筒浇注工艺及其料筒自动上料进料装置
US437308649,youth career development
US437308649,income generation financial
US437308649,readiness income generation
US437308649,income generation
US437308649,methods youth career
CN413601082,education platform based
CN413601082,education platform
CN413601082,platform based resource
CN413601082,resource pattern matching
CN413601082,based resource pattern
US159754132,automated plagiarism detector
US159754132,plagiarism detector
US159754132,automated plagiarism
US159754132,manager automated plagiarism
US159754132,essay manager automated
IN375170500,integration ict secondary
IN375170500,ict secondary higher
IN375170500,integration ict
IN375170500,ict secondary
IN375170500,ict
US43474155,defeasement future obligations
US43474155,future obligations
US43474155,defeasement future
US43474155,method defeasement future
US43474155,obligations
BR429133243,para caminhões congêneres
BR429133243,cozinha para caminhões
BR429133243,caminhões congêneres
BR429133243,para caminhões
BR429133243,introduzido em caixa
AU309811860,sef smart educational
AU309811860,smart educational framework
AU309811860,educator monitoring content
AU309811860,educational framework smart
AU309811860,iot based educator
CA94494120,optimized educational delivery
CA94494120,method optimized educational
CA94494120,optimized educational
CA94494120,educational delivery science
CA94494120,educational delivery
US42807085,min huang education
US42807085,huang education
US42807085,ching min huang
US42807085,min huang
US42807085,huang
PL446833158,splice protection devices
PL446833158,storage device splice
PL446833158,device splice protection
PL446833158,splice protection
PL446833158,device splice
IN346042903,quick release grippers
IN346042903,release grippers
IN346042903,grippers
IN346042903,grippers handle soft
IN346042903,release grippers handle
FR437780241,une roue aéronef
FR437780241,dispositif freinage une
FR437780241,aéronef
FR437780241,roue aéronef
FR437780241,freinage une roue
US215058570,drove mobile application
US215058570,mobile application method
US215058570,mobile application
US215058570,drove mobile
US215058570,mobile
DE437788502,reifendateninformationssystem
IN394894557,use technology education
IN394894557,technology education teaching
IN394894557,technology education
IN394894557,use technology
IN394894557,education teaching
IN350378519,3d printing internet
IN350378519,printing internet things
IN350378519,3d printing
IN350378519,using 3d printing
IN350378519,iot
WO2019171128,photo automated
WO2019171128,photo automated integration
WO2019171128,media controls advertisement
WO2019171128,filters photo automated
WO2019171128,controls advertisement
US41317962,enhancing learning capacity
US41317962,learning capacity
US41317962,enhancing learning
US41317962,apparatus enhancing learning
US41317962,learning
WO2001012059,enhancing learning capacity
WO2001012059,learning capacity
WO2001012059,enhancing learning
WO2001012059,apparatus enhancing learning
WO2001012059,learning
KR446836186,봉투 취출 기능이
KR446836186,무인 셀프 계산대
KR446836186,무인 셀프
KR446836186,구비된 무인 셀프
KR446836186,봉투 취출
US321832564,educational management
US321832564,product educational management
US321832564,program product educational
US321832564,method computer program
US321832564,computer program product
CN446858443,一种防共振的车载北斗卫星定位终端
US40705309,electronic training systems
US40705309,electronic training
US40705309,training systems
US40705309,training systems methods
US40705309,training
AU181264133,electronic training systems
AU181264133,electronic training
AU181264133,training systems
AU181264133,training systems methods
AU181264133,training
WO2004029753,electronic training systems
WO2004029753,electronic training
