id,title,date,country
IN379761944,Integrated English Language Instructions through Virtual Reality Technology for College Students,28.10.2022,IN
IN346043401,STUDENTS EDUCATION MONITORING USING MACHINE LEARNING AND IOT BASED TECHNOLOGY.,26.11.2021,IN
CN446862627,一种海洋水体污染物检测装置,29.09.2024,CN
IN355932058,MPC-ACADEMY DEVELOPMENT: METHOD AND PROCESS TEACHING AND LEARNING IN HIGHER EDUCATION USING MACHINE LEARNING,26.11.2021,IN
CN446858452,便于调节安装的双相流体装卸臂归位装置,23.09.2024,CN
CN446863566,一种通过土壤深层注气增氧促进稻田固碳减排、提高水稻产量的方法,20.11.2024,CN
CN346919706,Practical training platform for ABS (Anti-lock Brake System) of new energy automobile,08.07.2021,CN
IN366091682,Decresed the Search engine Time Cloud Data based using Machine Lerning,18.05.2022,IN
WO2016035034,"INTERNATIONAL, DIGITAL EDUCATION PLATFORM WITH TRANSLATION MODULE; CONNECTING THE WORLD THROUGH EDUCATION",04.09.2015,WO
KR446842906,"이미다조피리다진 치환 벤젠 고리 유도체, 제조방법, 약학 조성물 및 용도",29.03.2023,KR
CN383871510,College education resource sharing system based on big data,26.09.2022,CN
CN437813554,一种模拟培训考试装置,15.12.2023,CN
IN398104791,A SYSTEM FOR EVALUATING THE ROLE OF DIGITAL ECOSYSTEM IN MODIFYING HIGHER EDUCATION,18.03.2023,IN
DE437787989,Mehrband-Schleifen-Antenne mit erweiterter Bandbreite,28.02.2023,DE
IN346042388,USE OF KINAESTHETIC GAME BASED LEARNING FOR MODELLING THE HYPOTHETICAL ENERGY LEVELS OF A LASER,23.11.2021,IN
CN235498297,Display device for college education,28.08.2018,CN
US343549466,MACHINE LEARNING BASED PREDICTIVE MODELING AND ANALYSIS OF TELECOMMUNICATIONS BROADBAND ACCESS IN UNSERVED AND UNDERSERVED LOCATIONS,17.08.2021,US
CN234320403,English listening comprehension training device for college education,28.08.2018,CN
IN371142487,A SYSTEM AND METHOD FOR ENABLING ONLINE EDTECH SYSTEM,12.07.2022,IN
IN211665421,"""NOVEL ORAL DRUG DELIVERY SYSTEM FOR THE TREATMENT OF ALLERGIC ASTHMA""",09.04.2013,IN
US41410060,College and employment integration system,04.08.2004,US
IN236856677,COCONUT PARTIAL DEHUSKER,12.07.2017,IN
GB135614776,APPARATUS FOR DEMONSTRATING WAVE MOTION,21.12.1974,GB
US437764624,"DEVICE AND METHOD FOR ADDITIVE MANUFACTURING OF A COMPONENT, AND METHOD FOR PROVIDING A DEVICE FOR ADDITIVE MANUFACTURING",15.06.2022,US
WO2006059964,"SYSTEMS, METHODS AND COMPUTER PROGRAM PRODUCTS FOR STANDARDIZING EXPERT-DRIVEN ASSESSMENTS",19.11.2004,WO
CN446858429,一种基于BIM的压储电站地下硐室施工监测方法及系统,20.09.2024,CN
PH203085223,WORKPLACE CORE COMPETENCY FOCUSED EDUCATION TECHNOLOGY,22.05.2014,PH
IN318015284,A SYSTEM FOR MONITORING OF COMA PATIENT’S HEALTH PARAMETERS,13.03.2020,IN
CN437815368,一种可竖向平衡调整的船岸通讯装置,05.12.2023,CN
CN312357860,Comprehensive practical training device for electric vehicle teaching,29.04.2020,CN
CN235498335,College music education studying device,28.08.2018,CN
TN421431410,"DEVICE FOR MEASURING THE CIRCUMFERENCE OF AN OBJECT, IN PARTICULAR A BODY LIMB",06.02.2020,TN
IN367110747,MACHINE LEARNING CLUSTERING APPROACH FOR RESOURCE SHARING IN DRONE-ASSISTED FLYING AD HOC NETWORK,09.06.2022,IN
US76829382,"System and method for providing educational related social/geo/promo link promotional data sets for end user display of interactive ad links, promotions and sale of products, goods, and/or services integrated with 3D spatial geomapping, company and local information for selected worldwide locations and social networking",04.04.2012,US
IN346042386,BLACK BOX FOR TWO WHEELERS,17.11.2021,IN
CN306883999,Method for analyzing college educational administration system curriculum schedule data,21.05.2020,CN
CN446858453,自动贴合设备及方法,23.09.2024,CN
IN348042551,“EXPERIMENTAL STUDIES ON THE USE OF WASTE RUBBER TYRE CRUMB AND BAMBOO IN TREMIX CONCRETE FLOORING”,06.12.2021,IN
DE437787926,"Rotor mit magnetischem Material im Kragen eines Polzahns, fremderregte Axialflussmaschine, Verfahren zur Herstellung eines Rotors",27.02.2023,DE
CN446870098,一种双合金机筒浇注工艺及其料筒自动上料进料装置,07.07.2023,CN
US437308649,"SYSTEM AND METHODS FOR YOUTH CAREER DEVELOPMENT, WORK-READINESS, INCOME GENERATION AND FINANCIAL MANAGEMENT WITH ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",14.02.2024,US
CN413601082,Education platform based on resource pattern matching and collaboration,16.08.2023,CN
US159754132,ESSAY MANAGER AND AUTOMATED PLAGIARISM DETECTOR,19.08.2015,US
IN375170500,The Current State of the Integration of ICT in Secondary & Higher Education Institutions,05.09.2022,IN
US43474155,SYSTEM AND METHOD FOR DEFEASEMENT OF FUTURE OBLIGATIONS,27.07.2009,US
